"分区","name / Fin Type","code / Code","thicknessMm / Fin Gage (mm)","widthMm / Fin Width (mm)","heightPreBrazingMm / Fin Height Pre-Brazing (mm)","brazingChangeMm / Change During Brazing (mm)","heightPostBrazingMm / Fin Height Post-Brazing (mm)","finPitchMm / Fin Pitch (mm)","finPitchRangeMm / Range of  fin  pitch     (Just for sample) (mm)","rMm / R (mm)","louverLengthFullMm / Louver Length (Full) (mm)","louverLengthOverallMm / Louver Length (Overall) (mm)","louverPitchMm / Louver Pitch (mm)","louverAngleDeg / Louver Angle (°)","louverCount / Louver Number","drawing / Drawing #for mold &Revison","oldDrawing / Old Drawing #&Revison","status / Status","moldCount / Count of mold (ul)","material / Material","clad / Clad","weightPerLengthGm / Weight Per Unit Length (g/m)","product / Product  Where Used","processStatus / Process status","sourceColumnY / 未标注表头","sourceColumnZ / 未标注表头","sourceColumnAA / 未标注表头","stockWidthMm / 料宽 (mm)","sourceColumnE / 未标注表头","sourceColumnF / 未标注表头","sourceColumnG / 未标注表头","sourceColumnJ / 未标注表头","sourceColumnK / 未标注表头","slotLengthMm / 扁槽长度 (mm)","sourceColumnM / 未标注表头","slotPitchMm / 槽间距 (mm)","slotWidthMm / 扁槽宽度 (mm)","来源区域","待核对项"
"主表","B0f","310150","0.08","16","8","0","8","1.1","1.1~1.2","≤0.45","","6.4","1.2","24","8","B0f-M001  Rev.S0","","Available","","AA3003Mod-H14SR","(AA4343)10±2% for each side","34.11 ","FLP","OK","批量","常规","","","","","","","","","","","","Fin!A16:AA16","I16: Range of  fin  pitch     (Just for sample) 原文为 ""1.1~1.2""，不能作为单一数值使用；J16: R 原文为 ""≤0.45""，不能作为单一数值使用；K16: Louver Length (Full) 原文为 空白，不能作为单一数值使用；Y16: 本分区该列没有表头，保留原值，未猜测字段含义；Z16: 本分区该列没有表头，保留原值，未猜测字段含义；B16: Code/ERP 310150 对应多个型号：B0f、B150；未合并或覆盖"
"主表","B0h","310170","0.08","16","8.13","0.03","8.1","2.1","","≤0.45","5.3 ","7","1.65","45","8","B0h-M001 Rev.S0","","Available","","AA3003Mod-H14SR","(AA4343)10±2% for each side","17.87 ","","OK","批量","常规","1","","","","","","","","","","","Fin!A17:AA17","I17: Range of  fin  pitch     (Just for sample) 原文为 空白，不能作为单一数值使用；J17: R 原文为 ""≤0.45""，不能作为单一数值使用；Y17: 本分区该列没有表头，保留原值，未猜测字段含义；Z17: 本分区该列没有表头，保留原值，未猜测字段含义；AA17: 本分区该列没有表头，保留原值，未猜测字段含义"
"主表","B0hAZ","","0.08","16","8.13","0.03","8.1","2.1","","≤0.45","5.3 ","7","1.65","45","8","B0h-M001 Rev.S0","","Available","","AA3003Mod-H14SR","(AA4343)10±2% for each side","17.87 ","","OK","批量","常规","1","","","","","","","","","","","Fin!A18:AA18","I18: Range of  fin  pitch     (Just for sample) 原文为 空白，不能作为单一数值使用；J18: R 原文为 ""≤0.45""，不能作为单一数值使用；Y18: 本分区该列没有表头，保留原值，未猜测字段含义；Z18: 本分区该列没有表头，保留原值，未猜测字段含义；AA18: 本分区该列没有表头，保留原值，未猜测字段含义；B18: Code/ERP 空白或为说明文字；未补造编号，原文保留"
"主表","B0i","310180","0.08","16","8.11","0.01","8.1","1.8","1.7-1.9","≤0.45","5.6 ","7","1.65","45","8","B0i-M001  Rev.S0","由B0bA  Rev.01更改而来","Available","","AA3003Mod-H14SR","(AA4343)10±2% for each side","20.84 ","H1161","OK","批量","常规","2","","","","","","","","","","","Fin!A19:AA19","I19: Range of  fin  pitch     (Just for sample) 原文为 ""1.7-1.9""，不能作为单一数值使用；J19: R 原文为 ""≤0.45""，不能作为单一数值使用；Y19: 本分区该列没有表头，保留原值，未猜测字段含义；Z19: 本分区该列没有表头，保留原值，未猜测字段含义；AA19: 本分区该列没有表头，保留原值，未猜测字段含义"
"主表","B0n","310230","0.08","16","8.13","0.03","8.1","1.4","","0.3","5.8 ","6.8","1.1","27","12","B0n-M001Rev.S0","","Available","","AA3003Mod-H14SR","(AA4343)10±2% for each side","26.80 ","平顶FLP","OK","批量","平顶","","","","","","","","","","","","Fin!A20:AA20","I20: Range of  fin  pitch     (Just for sample) 原文为 空白，不能作为单一数值使用；Y20: 本分区该列没有表头，保留原值，未猜测字段含义；Z20: 本分区该列没有表头，保留原值，未猜测字段含义"
"主表","B0m","310220","0.08","16","5.42","0.02","5.4","1.1","","≤0.45","","4.1","1.1","27","12","B0m-M001","","Available","","AA3003Mod-H14SR","(AA4343)10±2% for each side","34.11 ","","","批量","边翅","","","","","","","","","","","","Fin!A21:AA21","I21: Range of  fin  pitch     (Just for sample) 原文为 空白，不能作为单一数值使用；J21: R 原文为 ""≤0.45""，不能作为单一数值使用；K21: Louver Length (Full) 原文为 空白，不能作为单一数值使用；Y21: 本分区该列没有表头，保留原值，未猜测字段含义；Z21: 本分区该列没有表头，保留原值，未猜测字段含义"
"主表","B0t","310270","0.08","16","8.13","0.03","8.1","1.6","1.5-1.7","≤0.45","6.0 ","7","1.5","40","6","B0t-M001Rev.S0","由B59-M001变种而来","Available","","AA3003Mod-H14SR","(AA4343)10±2% for each side","23.45 ","新结构For HP","OK","批量","压脚翅片","1","","","","","","","","","","","Fin!A22:AA22","I22: Range of  fin  pitch     (Just for sample) 原文为 ""1.5-1.7""，不能作为单一数值使用；J22: R 原文为 ""≤0.45""，不能作为单一数值使用；Y22: 本分区该列没有表头，保留原值，未猜测字段含义；Z22: 本分区该列没有表头，保留原值，未猜测字段含义；AA22: 本分区该列没有表头，保留原值，未猜测字段含义；B22: Code/ERP 310270 对应多个型号：B0t、B0tA；未合并或覆盖"
"主表","B0tA","310270","0.08","16","8.13","0.03","8.1","1.4","1.3-1.5","≤0.45","6.0 ","7","1.5","40","6","B0t-M001Rev.S0","由B59-M001变种而来","Available","","AA3003Mod-H14SR","(AA4343)10±2% for each side","26.80 ","新结构For HP","OK","批量","压脚翅片","大明市新开","","","","","","","","","","","Fin!A23:AA23","I23: Range of  fin  pitch     (Just for sample) 原文为 ""1.3-1.5""，不能作为单一数值使用；J23: R 原文为 ""≤0.45""，不能作为单一数值使用；Y23: 本分区该列没有表头，保留原值，未猜测字段含义；Z23: 本分区该列没有表头，保留原值，未猜测字段含义；AA23: 本分区该列没有表头，保留原值，未猜测字段含义；B23: Code/ERP 310270 对应多个型号：B0t、B0tA；未合并或覆盖"
"主表","B0w","310285","0.08","16","11.43","0.03","11.4","1","","≤0.45","9.6 ","10.2","0.73","27","18","B0w-M001  Rev.S0","","Available","","AA3003Mod-H14SR","(AA4343)10±2% for each side","37.52 ","3G16","","研发刀具","常规","","","","","","","","","","","","Fin!A24:AA24","I24: Range of  fin  pitch     (Just for sample) 原文为 空白，不能作为单一数值使用；J24: R 原文为 ""≤0.45""，不能作为单一数值使用；Y24: 本分区该列没有表头，保留原值，未猜测字段含义；Z24: 本分区该列没有表头，保留原值，未猜测字段含义"
"主表","B0x","310290","0.08","16","11.43","0.03","11.4","1.4","1.3-1.5","≤0.45","9.3 ","10.3","1.15","45","8","B0x-M001Rev.S0","","Available","","MOP-B01","","26.80 ","","","研发刀具","常规","","","","","","","","","","","","Fin!A25:AA25","I25: Range of  fin  pitch     (Just for sample) 原文为 ""1.3-1.5""，不能作为单一数值使用；J25: R 原文为 ""≤0.45""，不能作为单一数值使用；Y25: 本分区该列没有表头，保留原值，未猜测字段含义；Z25: 本分区该列没有表头，保留原值，未猜测字段含义"
"主表","B621","390443","0.08","16","8.13","0.03","8.1","1.4","1.3~1.5","0.6","6.2","6.8","1.4","27","8","","","","30","AA3003Mod-H14SR","(AA4343)10±2% for each side","26.80 ","1G16","OK","OK","","","","","","","","","","","","","Fin!A26:AA26","I26: Range of  fin  pitch     (Just for sample) 原文为 ""1.3~1.5""，不能作为单一数值使用；Y26: 本分区该列没有表头，保留原值，未猜测字段含义"
"主表","B11","311010","0.09","18","11.43","0.03","11.4","1.1","1.1~1.2","≤0.45","9.3 ","10.3","1.06","27","14","B11-M001  Rev.S0","B23-0000 Rev.S3","Available","","AA3003Mod-H14SR","(AA4343)10±2% for each side","38.37 ","3G18","OK","批量","常规","","","","","","","","","","","","Fin!A27:AA27","I27: Range of  fin  pitch     (Just for sample) 原文为 ""1.1~1.2""，不能作为单一数值使用；J27: R 原文为 ""≤0.45""，不能作为单一数值使用；Y27: 本分区该列没有表头，保留原值，未猜测字段含义；Z27: 本分区该列没有表头，保留原值，未猜测字段含义"
"主表","B15","311050","0.09","18","7.62","0.02","7.6","1.1","1.1~1.2","≤0.45","5.5","6.1","1.14","25","12","B15-M001  Rev.S0","","Available","","AA3003Mod-H14SR","(AA4343)10±2% for each side","38.37 ","","OK","批量","常规","","","","","","","","","","","","Fin!A28:AA28","I28: Range of  fin  pitch     (Just for sample) 原文为 ""1.1~1.2""，不能作为单一数值使用；J28: R 原文为 ""≤0.45""，不能作为单一数值使用；Y28: 本分区该列没有表头，保留原值，未猜测字段含义；Z28: 本分区该列没有表头，保留原值，未猜测字段含义"
"主表","B16","311060","0.07","17","8.13","0.03","8.1","1.4","","≤0.45","","7","1.4","24","8","B16-M001  Rev.S0","","Available","","AA3003Mod-H14SR","非复合翅片","28.47 ","","","批量","仅限非复合","","","","","","","","","","","","Fin!A29:AA29","I29: Range of  fin  pitch     (Just for sample) 原文为 空白，不能作为单一数值使用；J29: R 原文为 ""≤0.45""，不能作为单一数值使用；K29: Louver Length (Full) 原文为 空白，不能作为单一数值使用；Y29: 本分区该列没有表头，保留原值，未猜测字段含义；Z29: 本分区该列没有表头，保留原值，未猜测字段含义"
"主表","B17","311070","0.09","18","11.45","0.05","11.4","1.1","","≤0.45","9.8","10.3","1.06","27","12","B17-M001  Rev.S0","","Available","","AA3003Mod-H14SR","(AA4343)10±2% for each side","38.37 ","","","批量","","","","","","","","","","","","","Fin!A30:AA30","I30: Range of  fin  pitch     (Just for sample) 原文为 空白，不能作为单一数值使用；J30: R 原文为 ""≤0.45""，不能作为单一数值使用；Y30: 本分区该列没有表头，保留原值，未猜测字段含义"
"主表","B21","312010","0.1","20","8.13","0.03","8.1","1.4","1.3-1.5","≤0.45","6","7.0","1.35","30","12","B21-M001  Rev.01","由B21-M001  Rev.00更改而来","Available","","AA3003Mod-H14SR","(AA4343)10±2% for each side","33.50 ","1G20B","","批量","常规","","","","","","","","","","","","Fin!A31:AA31","I31: Range of  fin  pitch     (Just for sample) 原文为 ""1.3-1.5""，不能作为单一数值使用；J31: R 原文为 ""≤0.45""，不能作为单一数值使用；Y31: 本分区该列没有表头，保留原值，未猜测字段含义；Z31: 本分区该列没有表头，保留原值，未猜测字段含义"
"主表","B23","312030","0.1","20","8.13","0.03","8.1","1.2","1.1~1.3","≤0.45","6","7.0","1.35","30","12","B23-M001  Rev.01","由B23-M001  Rev.00更改而来","Available","","AA3003Mod-H14SR","(AA4343)10±2% for each side","39.08 ","1G20B","OK","批量","常规","","","","","","","","","","","","Fin!A32:AA32","I32: Range of  fin  pitch     (Just for sample) 原文为 ""1.1~1.3""，不能作为单一数值使用；J32: R 原文为 ""≤0.45""，不能作为单一数值使用；Y32: 本分区该列没有表头，保留原值，未猜测字段含义；Z32: 本分区该列没有表头，保留原值，未猜测字段含义"
"主表","B31","313010","0.08","20.6","8.13","0.03","8.1","1.1","1.1~1.2","≤0.45","6.0 ","7","1.1","27","16","B31-M001  Rev.S0","B12-0000  Rev.S2","Available","","AA3003Mod-H14SR","(AA4343)10±2% for each side","43.91 ","2G20","OK","批量","常规","","","","","","","","","","","","Fin!A33:AA33","I33: Range of  fin  pitch     (Just for sample) 原文为 ""1.1~1.2""，不能作为单一数值使用；J33: R 原文为 ""≤0.45""，不能作为单一数值使用；Y33: 本分区该列没有表头，保留原值，未猜测字段含义；Z33: 本分区该列没有表头，保留原值，未猜测字段含义"
"主表","B32","313020","0.08","20.6","8.11","0.01","8.1","1.6","1.5~1.7","≤0.45","6.0 ","7","1.25","40","14","B32-M001  Rev.S0","B15-0000 Rev.S2","Available","","AA3003Mod-H14SR","(AA4343)10±2% for each side","30.19 ","H1201","OK","批量","常规","1","","","","","","","","","","","Fin!A34:AA34","I34: Range of  fin  pitch     (Just for sample) 原文为 ""1.5~1.7""，不能作为单一数值使用；J34: R 原文为 ""≤0.45""，不能作为单一数值使用；Y34: 本分区该列没有表头，保留原值，未猜测字段含义；Z34: 本分区该列没有表头，保留原值，未猜测字段含义；AA34: 本分区该列没有表头，保留原值，未猜测字段含义"
"主表","B32A","","0.08","20.6","8.11","0.01","8.1","1.3","1.2-1.4","≤0.45","6.0 ","7","1.25","40","14","B32-M001  Rev.S0","B15-0000 Rev.S2","Available","","AA3003Mod-H14SR","(AA4343)10±2% for each side","37.16 ","H1201","OK","批量","常规","1","","","","","","","","","","","Fin!A35:AA35","I35: Range of  fin  pitch     (Just for sample) 原文为 ""1.2-1.4""，不能作为单一数值使用；J35: R 原文为 ""≤0.45""，不能作为单一数值使用；Y35: 本分区该列没有表头，保留原值，未猜测字段含义；Z35: 本分区该列没有表头，保留原值，未猜测字段含义；AA35: 本分区该列没有表头，保留原值，未猜测字段含义；B35: Code/ERP 空白或为说明文字；未补造编号，原文保留"
"主表","B33","313030","0.08","20.6","8.13","0.03","8.1","1.6","1.5~1.7","≤0.45","6.0 ","7","1.5","40","12","B33-M001  Rev.S0","B21-0000 Rev.S2","Available","","AA3003Mod-H14SR","(AA4343)10±2% for each side","30.19 ","H1202","OK","批量","常规","1","","","","","","","","","","","Fin!A36:AA36","I36: Range of  fin  pitch     (Just for sample) 原文为 ""1.5~1.7""，不能作为单一数值使用；J36: R 原文为 ""≤0.45""，不能作为单一数值使用；Y36: 本分区该列没有表头，保留原值，未猜测字段含义；Z36: 本分区该列没有表头，保留原值，未猜测字段含义；AA36: 本分区该列没有表头，保留原值，未猜测字段含义"
"主表","B34","313040","0.08","20.6","11.43","0.03","11.4","1.6","1.5~1.7","≤0.45","9.0 ","10.1","1.5","40","12","B34-M001  Rev.S0","B22-0000 Rev.S5","Available","","AA3003Mod-H14SR","(AA4343)10±2% for each side","30.19 ","H1203","OK","研发刀具","报废","","","","","","","","","","","","Fin!A37:AA37","I37: Range of  fin  pitch     (Just for sample) 原文为 ""1.5~1.7""，不能作为单一数值使用；J37: R 原文为 ""≤0.45""，不能作为单一数值使用；Y37: 本分区该列没有表头，保留原值，未猜测字段含义；Z37: 本分区该列没有表头，保留原值，未猜测字段含义；Z37: 原表存在使用、制造或图纸限制，请保留原文并核对当前状态"
"主表","B37","313070","0.1","20.6","8.13","0.03","8.1","3","","0.5","","7","1.8","45","10","B37-M001 Rev.S0","","Available","","AA3003Mod-H14SR","(AA4343)10±2% for each side","16.10 ","H1206","OK","批量","常规","","","","","","","","","","","","Fin!A38:AA38","I38: Range of  fin  pitch     (Just for sample) 原文为 空白，不能作为单一数值使用；K38: Louver Length (Full) 原文为 空白，不能作为单一数值使用；Y38: 本分区该列没有表头，保留原值，未猜测字段含义；Z38: 本分区该列没有表头，保留原值，未猜测字段含义"
"主表","B3a","313100","0.08","20.6","8.13","0.03","8.1","1.8","1.7-1.9","≤0.45","5.8 ","7","1.5","40","12","B33-M001  Rev.00","由B33A-M001 Rev：01更改而来","Available","","AA3003Mod-H14SR","(AA4343)10±2% for each side","26.84 ","H1202","OK","批量","常规","1","","","","","","","","","","","Fin!A39:AA39","I39: Range of  fin  pitch     (Just for sample) 原文为 ""1.7-1.9""，不能作为单一数值使用；J39: R 原文为 ""≤0.45""，不能作为单一数值使用；Y39: 本分区该列没有表头，保留原值，未猜测字段含义；Z39: 本分区该列没有表头，保留原值，未猜测字段含义；AA39: 本分区该列没有表头，保留原值，未猜测字段含义"
"主表","B3e","313123","0.08","25.4","8.13","0.03","8.1","1.6","","≤0.45","6.0 ","7","1.5","45","6","B3e-M001 Rev.00","","Available","","AA3003Mod-H14SR","","37.22 ","压脚翅片","Checking","批量","压脚翅片","","","","","","","","","","","","Fin!A40:AA40","I40: Range of  fin  pitch     (Just for sample) 原文为 空白，不能作为单一数值使用；J40: R 原文为 ""≤0.45""，不能作为单一数值使用；Y40: 本分区该列没有表头，保留原值，未猜测字段含义；Z40: 本分区该列没有表头，保留原值，未猜测字段含义"
"主表","B3f","313124","0.08","20.6","6.53","0.03","6.5","1.6","","≤0.45","4.6 ","5.6","1.5","45","12","B3f-M001 Rev.00","","Available","","AA3003Mod-H14SR","","30.19 ","5G20 EV/HP","checking","家电","常规","","","","","","","","","","","","Fin!A41:AA41","I41: Range of  fin  pitch     (Just for sample) 原文为 空白，不能作为单一数值使用；J41: R 原文为 ""≤0.45""，不能作为单一数值使用；Y41: 本分区该列没有表头，保留原值，未猜测字段含义；Z41: 本分区该列没有表头，保留原值，未猜测字段含义"
"主表","B3h","313126","0.08","20.6","8.13","","","2.0 ","12.7","≤0.9","","7","1.5","45","12","Ba4","保留","","","","","","","","家电","常规（无图纸）","","","","","","","","","","","","Fin!A42:AA42","F42: Change During Brazing 原文为 空白，不能作为单一数值使用；G42: Fin Height Post-Brazing 原文为 空白，不能作为单一数值使用；I42: Range of  fin  pitch     (Just for sample) 原文为 12.7，不能作为单一数值使用；J42: R 原文为 ""≤0.9""，不能作为单一数值使用；K42: Louver Length (Full) 原文为 空白，不能作为单一数值使用；Y42: 本分区该列没有表头，保留原值，未猜测字段含义；Z42: 本分区该列没有表头，保留原值，未猜测字段含义；I42: 片距范围列为单一数字，范围含义及单位需核对；Z42: 原表存在使用、制造或图纸限制，请保留原文并核对当前状态"
"主表","B3g","313125","0.08","20.6","5.35","","","1.5","","0.5","","4.7","0.9","34","18","HX-Bh5-0000
Rev.S0","保留","","","","","","","","","","","","","","","","","","","","","Fin!A43:AA43","F43: Change During Brazing 原文为 空白，不能作为单一数值使用；G43: Fin Height Post-Brazing 原文为 空白，不能作为单一数值使用；I43: Range of  fin  pitch     (Just for sample) 原文为 空白，不能作为单一数值使用；K43: Louver Length (Full) 原文为 空白，不能作为单一数值使用"
"主表","B3q","313132","0.08","20.6","8.13","0.03","8.1","2.1","","0.55","4.6 ","6.5 ","变","40","6","","","Available","","AA3003Mod-H14SR","","23.00 ","","","研发刀具","凸出开窗非均匀","","","","","","","","","","","","Fin!A44:AA44","I44: Range of  fin  pitch     (Just for sample) 原文为 空白，不能作为单一数值使用；M44: Louver Pitch 原文为 ""变""，不能作为单一数值使用；Y44: 本分区该列没有表头，保留原值，未猜测字段含义；Z44: 本分区该列没有表头，保留原值，未猜测字段含义"
"主表","B3t","313134","0.08","20.6","6.53","0.03","6.5","1.3","","≤0.45","5.0 ","5.6 ","1.1","变","17","","","Available","","AA3003Mod-H14SR","","37.16 ","","","研发刀具","角度非均匀","","","","","","","","","","","","Fin!A45:AA45","I45: Range of  fin  pitch     (Just for sample) 原文为 空白，不能作为单一数值使用；J45: R 原文为 ""≤0.45""，不能作为单一数值使用；N45: Louver Angle 原文为 ""变""，不能作为单一数值使用；Y45: 本分区该列没有表头，保留原值，未猜测字段含义；Z45: 本分区该列没有表头，保留原值，未猜测字段含义"
"主表","B3x","313138","0.08","20.6","6.53","0.03","6.5","1.1","1.1~1.2","≤0.45","4.9 ","5.6 ","1.1","27","16","B31-M001  Rev.S0","","Available","","AA3003Mod-H14SR","(AA4343)10±2% for each side","43.91 ","5G20","OK","研发刀具","常规","","","","","","","","","","","","Fin!A46:AA46","I46: Range of  fin  pitch     (Just for sample) 原文为 ""1.1~1.2""，不能作为单一数值使用；J46: R 原文为 ""≤0.45""，不能作为单一数值使用；Y46: 本分区该列没有表头，保留原值，未猜测字段含义；Z46: 本分区该列没有表头，保留原值，未猜测字段含义"
"主表","B3z","313135","0.08","20.6","6.53","0.03","6.5","1.4","","≤0.45","5.0 ","5.6 ","1.05","变","18","","","Available","","AA3003Mod-H14SR","","34.50 ","","","研发刀具","角度非均匀","","","","","","","","","","","","Fin!A47:AA47","I47: Range of  fin  pitch     (Just for sample) 原文为 空白，不能作为单一数值使用；J47: R 原文为 ""≤0.45""，不能作为单一数值使用；N47: Louver Angle 原文为 ""变""，不能作为单一数值使用；Y47: 本分区该列没有表头，保留原值，未猜测字段含义；Z47: 本分区该列没有表头，保留原值，未猜测字段含义"
