"序号","类别","介质标识","介质说明","浓度值(%)","浓度基准","来源","待核对"
"24","制冷剂","R515B","制冷剂","","未提供","冷媒清单!A26:E26","原表未提供浓度，不补成0%或100%；目录未提供物性、适用工况或DLL映射；原表序号不是已验证的DLL编码"
"25","制冷剂","R600a","制冷剂","","未提供","冷媒清单!A27:E27","原表未提供浓度，不补成0%或100%；目录未提供物性、适用工况或DLL映射；原表序号不是已验证的DLL编码"
"26","制冷剂","CO2","制冷剂","","未提供","冷媒清单!A28:E28","原表未提供浓度，不补成0%或100%；目录未提供物性、适用工况或DLL映射；原表序号不是已验证的DLL编码"
"27","载冷剂·水","WATER","水","","未提供","冷媒清单!A29:E29","原表未提供浓度，不补成0%或100%；目录未提供物性、适用工况或DLL映射；原表序号不是已验证的DLL编码"
"28","载冷剂·乙二醇(EG)","EG30Vol.","乙二醇水溶液 (Ethylene Glycol)","30","体积浓度（Vol.）","冷媒清单!A30:E30","浓度基准按介质标识中的Vol./Wt.区分，不互换或换算；隐藏E列保留原浓度百分数；目录未提供物性、适用工况或DLL映射；原表序号不是已验证的DLL编码"
"29","载冷剂·乙二醇(EG)","EG35Vol.","乙二醇水溶液 (Ethylene Glycol)","35","体积浓度（Vol.）","冷媒清单!A31:E31","浓度基准按介质标识中的Vol./Wt.区分，不互换或换算；隐藏E列保留原浓度百分数；目录未提供物性、适用工况或DLL映射；原表序号不是已验证的DLL编码"
"30","载冷剂·乙二醇(EG)","EG40Vol.","乙二醇水溶液 (Ethylene Glycol)","40","体积浓度（Vol.）","冷媒清单!A32:E32","浓度基准按介质标识中的Vol./Wt.区分，不互换或换算；隐藏E列保留原浓度百分数；目录未提供物性、适用工况或DLL映射；原表序号不是已验证的DLL编码"
"31","载冷剂·乙二醇(EG)","EG45Vol.","乙二醇水溶液 (Ethylene Glycol)","45","体积浓度（Vol.）","冷媒清单!A33:E33","浓度基准按介质标识中的Vol./Wt.区分，不互换或换算；隐藏E列保留原浓度百分数；目录未提供物性、适用工况或DLL映射；原表序号不是已验证的DLL编码"
"32","载冷剂·乙二醇(EG)","EG50Vol.","乙二醇水溶液 (Ethylene Glycol)","50","体积浓度（Vol.）","冷媒清单!A34:E34","浓度基准按介质标识中的Vol./Wt.区分，不互换或换算；隐藏E列保留原浓度百分数；目录未提供物性、适用工况或DLL映射；原表序号不是已验证的DLL编码"
"33","载冷剂·乙二醇(EG)","EG55Vol.","乙二醇水溶液 (Ethylene Glycol)","55","体积浓度（Vol.）","冷媒清单!A35:E35","浓度基准按介质标识中的Vol./Wt.区分，不互换或换算；隐藏E列保留原浓度百分数；目录未提供物性、适用工况或DLL映射；原表序号不是已验证的DLL编码"
"34","载冷剂·乙二醇(EG)","EG60Vol.","乙二醇水溶液 (Ethylene Glycol)","60","体积浓度（Vol.）","冷媒清单!A36:E36","浓度基准按介质标识中的Vol./Wt.区分，不互换或换算；隐藏E列保留原浓度百分数；目录未提供物性、适用工况或DLL映射；原表序号不是已验证的DLL编码"
"35","载冷剂·乙二醇(EG)","EG10Wt.","乙二醇水溶液 (Ethylene Glycol)","10","质量浓度（Wt.）","冷媒清单!A37:E37","浓度基准按介质标识中的Vol./Wt.区分，不互换或换算；隐藏E列保留原浓度百分数；目录未提供物性、适用工况或DLL映射；原表序号不是已验证的DLL编码"
"36","载冷剂·乙二醇(EG)","EG15Wt.","乙二醇水溶液 (Ethylene Glycol)","15","质量浓度（Wt.）","冷媒清单!A38:E38","浓度基准按介质标识中的Vol./Wt.区分，不互换或换算；隐藏E列保留原浓度百分数；目录未提供物性、适用工况或DLL映射；原表序号不是已验证的DLL编码"
"37","载冷剂·乙二醇(EG)","EG20Wt.","乙二醇水溶液 (Ethylene Glycol)","20","质量浓度（Wt.）","冷媒清单!A39:E39","浓度基准按介质标识中的Vol./Wt.区分，不互换或换算；隐藏E列保留原浓度百分数；目录未提供物性、适用工况或DLL映射；原表序号不是已验证的DLL编码"
"38","载冷剂·乙二醇(EG)","EG22Wt.","乙二醇水溶液 (Ethylene Glycol)","22","质量浓度（Wt.）","冷媒清单!A40:E40","浓度基准按介质标识中的Vol./Wt.区分，不互换或换算；隐藏E列保留原浓度百分数；目录未提供物性、适用工况或DLL映射；原表序号不是已验证的DLL编码"
"39","载冷剂·乙二醇(EG)","EG25Wt.","乙二醇水溶液 (Ethylene Glycol)","25","质量浓度（Wt.）","冷媒清单!A41:E41","浓度基准按介质标识中的Vol./Wt.区分，不互换或换算；隐藏E列保留原浓度百分数；目录未提供物性、适用工况或DLL映射；原表序号不是已验证的DLL编码"
"40","载冷剂·乙二醇(EG)","EG30Wt.","乙二醇水溶液 (Ethylene Glycol)","30","质量浓度（Wt.）","冷媒清单!A42:E42","浓度基准按介质标识中的Vol./Wt.区分，不互换或换算；隐藏E列保留原浓度百分数；目录未提供物性、适用工况或DLL映射；原表序号不是已验证的DLL编码"
"41","载冷剂·乙二醇(EG)","EG35Wt.","乙二醇水溶液 (Ethylene Glycol)","35","质量浓度（Wt.）","冷媒清单!A43:E43","浓度基准按介质标识中的Vol./Wt.区分，不互换或换算；隐藏E列保留原浓度百分数；目录未提供物性、适用工况或DLL映射；原表序号不是已验证的DLL编码"
"42","载冷剂·乙二醇(EG)","EG40Wt.","乙二醇水溶液 (Ethylene Glycol)","40","质量浓度（Wt.）","冷媒清单!A44:E44","浓度基准按介质标识中的Vol./Wt.区分，不互换或换算；隐藏E列保留原浓度百分数；目录未提供物性、适用工况或DLL映射；原表序号不是已验证的DLL编码"
"43","载冷剂·乙二醇(EG)","EG45Wt.","乙二醇水溶液 (Ethylene Glycol)","45","质量浓度（Wt.）","冷媒清单!A45:E45","浓度基准按介质标识中的Vol./Wt.区分，不互换或换算；隐藏E列保留原浓度百分数；目录未提供物性、适用工况或DLL映射；原表序号不是已验证的DLL编码"
"44","载冷剂·乙二醇(EG)","EG50Wt.","乙二醇水溶液 (Ethylene Glycol)","50","质量浓度（Wt.）","冷媒清单!A46:E46","浓度基准按介质标识中的Vol./Wt.区分，不互换或换算；隐藏E列保留原浓度百分数；目录未提供物性、适用工况或DLL映射；原表序号不是已验证的DLL编码"
"45","载冷剂·乙二醇(EG)","EG55Wt.","乙二醇水溶液 (Ethylene Glycol)","55","质量浓度（Wt.）","冷媒清单!A47:E47","浓度基准按介质标识中的Vol./Wt.区分，不互换或换算；隐藏E列保留原浓度百分数；目录未提供物性、适用工况或DLL映射；原表序号不是已验证的DLL编码"
"46","载冷剂·乙二醇(EG)","EG60Wt.","乙二醇水溶液 (Ethylene Glycol)","60","质量浓度（Wt.）","冷媒清单!A48:E48","浓度基准按介质标识中的Vol./Wt.区分，不互换或换算；隐藏E列保留原浓度百分数；目录未提供物性、适用工况或DLL映射；原表序号不是已验证的DLL编码"
"47","载冷剂·丙二醇(PG)","PROPYLEN","丙二醇 (Propylene Glycol)","","未提供","冷媒清单!A49:E49","原表未提供浓度，不补成0%或100%；目录未提供物性、适用工况或DLL映射；原表序号不是已验证的DLL编码"
"48","载冷剂·丙二醇(PG)","PG10Vol.","丙二醇水溶液 (Propylene Glycol)","10","体积浓度（Vol.）","冷媒清单!A50:E50","浓度基准按介质标识中的Vol./Wt.区分，不互换或换算；隐藏E列保留原浓度百分数；目录未提供物性、适用工况或DLL映射；原表序号不是已验证的DLL编码"
"49","载冷剂·丙二醇(PG)","PG15Vol.","丙二醇水溶液 (Propylene Glycol)","15","体积浓度（Vol.）","冷媒清单!A51:E51","浓度基准按介质标识中的Vol./Wt.区分，不互换或换算；隐藏E列保留原浓度百分数；目录未提供物性、适用工况或DLL映射；原表序号不是已验证的DLL编码"
"50","载冷剂·丙二醇(PG)","PG20Vol.","丙二醇水溶液 (Propylene Glycol)","20","体积浓度（Vol.）","冷媒清单!A52:E52","浓度基准按介质标识中的Vol./Wt.区分，不互换或换算；隐藏E列保留原浓度百分数；目录未提供物性、适用工况或DLL映射；原表序号不是已验证的DLL编码"
"51","载冷剂·丙二醇(PG)","PG25Vol.","丙二醇水溶液 (Propylene Glycol)","25","体积浓度（Vol.）","冷媒清单!A53:E53","浓度基准按介质标识中的Vol./Wt.区分，不互换或换算；隐藏E列保留原浓度百分数；目录未提供物性、适用工况或DLL映射；原表序号不是已验证的DLL编码"
"52","载冷剂·丙二醇(PG)","PG30Vol.","丙二醇水溶液 (Propylene Glycol)","30","体积浓度（Vol.）","冷媒清单!A54:E54","浓度基准按介质标识中的Vol./Wt.区分，不互换或换算；隐藏E列保留原浓度百分数；目录未提供物性、适用工况或DLL映射；原表序号不是已验证的DLL编码"
"53","载冷剂·丙二醇(PG)","PG35Vol.","丙二醇水溶液 (Propylene Glycol)","35","体积浓度（Vol.）","冷媒清单!A55:E55","浓度基准按介质标识中的Vol./Wt.区分，不互换或换算；隐藏E列保留原浓度百分数；目录未提供物性、适用工况或DLL映射；原表序号不是已验证的DLL编码"
"54","载冷剂·丙二醇(PG)","PG40Vol.","丙二醇水溶液 (Propylene Glycol)","40","体积浓度（Vol.）","冷媒清单!A56:E56","浓度基准按介质标识中的Vol./Wt.区分，不互换或换算；隐藏E列保留原浓度百分数；目录未提供物性、适用工况或DLL映射；原表序号不是已验证的DLL编码"
"55","载冷剂·丙二醇(PG)","PG45Vol.","丙二醇水溶液 (Propylene Glycol)","45","体积浓度（Vol.）","冷媒清单!A57:E57","浓度基准按介质标识中的Vol./Wt.区分，不互换或换算；隐藏E列保留原浓度百分数；目录未提供物性、适用工况或DLL映射；原表序号不是已验证的DLL编码"
"56","载冷剂·丙二醇(PG)","PG50Vol.","丙二醇水溶液 (Propylene Glycol)","50","体积浓度（Vol.）","冷媒清单!A58:E58","浓度基准按介质标识中的Vol./Wt.区分，不互换或换算；隐藏E列保留原浓度百分数；目录未提供物性、适用工况或DLL映射；原表序号不是已验证的DLL编码"
"57","载冷剂·丙二醇(PG)","PG55Vol.","丙二醇水溶液 (Propylene Glycol)","55","体积浓度（Vol.）","冷媒清单!A59:E59","浓度基准按介质标识中的Vol./Wt.区分，不互换或换算；隐藏E列保留原浓度百分数；目录未提供物性、适用工况或DLL映射；原表序号不是已验证的DLL编码"
"58","载冷剂·丙二醇(PG)","PG60Vol.","丙二醇水溶液 (Propylene Glycol)","60","体积浓度（Vol.）","冷媒清单!A60:E60","浓度基准按介质标识中的Vol./Wt.区分，不互换或换算；隐藏E列保留原浓度百分数；目录未提供物性、适用工况或DLL映射；原表序号不是已验证的DLL编码"
"59","载冷剂·丙二醇(PG)","PG35Wt.","丙二醇水溶液 (Propylene Glycol)","35","质量浓度（Wt.）","冷媒清单!A61:E61","浓度基准按介质标识中的Vol./Wt.区分，不互换或换算；隐藏E列保留原浓度百分数；目录未提供物性、适用工况或DLL映射；原表序号不是已验证的DLL编码"
"60","载冷剂·丙二醇(PG)","PG40Wt.","丙二醇水溶液 (Propylene Glycol)","40","质量浓度（Wt.）","冷媒清单!A62:E62","浓度基准按介质标识中的Vol./Wt.区分，不互换或换算；隐藏E列保留原浓度百分数；目录未提供物性、适用工况或DLL映射；原表序号不是已验证的DLL编码"
"61","载冷剂·丙二醇(PG)","PG45Wt.","丙二醇水溶液 (Propylene Glycol)","45","质量浓度（Wt.）","冷媒清单!A63:E63","浓度基准按介质标识中的Vol./Wt.区分，不互换或换算；隐藏E列保留原浓度百分数；目录未提供物性、适用工况或DLL映射；原表序号不是已验证的DLL编码"
